FIBER MJD MODELFLUX_1 MODELFLUX_2 MODELFLUX_3 PLATE
630 55973 3574.8 6210.4 8580.6 5361
602 55986 4532.4 6687.0 7495.4 5379
220 55980 2979.7 4025.3 4807.3 5380
66 55947 6079.3 13896.0 21510.0 5396
538 55944 2190.5 3912.2 5153.3 5397
984 56308 3689.2 5515.9 6767.2 5400
416 55949 2254.6 5164.4 7601.4 5401
308 55979 4964.9 9127.6 12511.0 5403
556 55979 3149.5 6200.7 8772.6 5403
151 56013 6531.3 14579.0 18906.0 5404
240 56014 3179.1 5783.3 7957.5 5414
2 56011 3865.5 8687.4 13181.0 5431
948 56008 4142.2 7993.7 11445.0 5432
286 55982 2765.6 4983.1 6879.1 5435
454 55976 3031.7 6654.8 10097.0 5457
234 56011 3402.9 7066.0 9891.8 5458
368 56033 2330.1 3585.5 4390.7 5466
268 55973 2109.8 3584.3 4707.9 5467
472 55973 8709.0 14514.0 17834.0 5467
184 56003 2649.3 5770.4 8203.6 5490
874 56605 3852.9 7929.1 11771.0 5708
222 56014 3138.1 5252.6 6799.3 5719
616 56363 3465.7 7415.7 10745.0 5731
190 55984 2135.3 4000.7 5841.6 5736
996 56011 13735.0 31638.0 51568.0 5743
338 56246 3978.4 6683.0 8473.2 5769
634 56274 2068.0 5171.2 8285.4 5780
924 56334 2085.3 2949.0 3524.4 5811
136 56017 2482.2 4209.9 5537.5 5846
680 56037 2482.2 4209.9 5537.5 5847
183 56042 20045.0 22435.0 48189.0 5850
760 56034 3556.2 6405.9 7656.8 5852
216 56033 2387.5 4282.0 5809.2 5878
906 56042 2385.3 4935.0 7065.1 5880
904 56038 2480.4 3763.9 4519.8 5889
264 56037 9161.3 15939.0 21023.0 5890
648 56037 5590.3 8791.8 11075.0 5890
854 56337 2086.6 3638.6 4886.1 5984
221 56097 4227.6 7119.2 10571.0 6010
503 56096 3766.5 6106.6 8012.6 6015
203 56072 2648.4 4976.0 6851.9 6048
50 56093 5902.4 7706.2 8199.6 6059
454 56074 5902.4 7706.2 8199.6 6060
791 56237 5362.3 10903.0 15511.0 6115
552 56214 2500.0 5388.2 8561.4 6130
728 56206 3769.2 8716.9 13261.0 6136
534 56267 2051.3 4769.8 7422.2 6143
315 56265 7239.1 16588.0 24829.0 6146
292 56164 5547.5 13266.0 21224.0 6152
924 56164 5547.5 13266.0 21224.0 6153
700 56187 2092.8 4990.7 7769.2 6168
611 56240 2282.8 5629.2 8355.5 6255
580 56304 2085.2 4093.7 5815.7 6271
364 56449 2108.0 2468.4 3265.9 6321
120 56190 2555.0 5142.9 7400.8 6322
510 56330 2844.5 4687.9 6242.2 6404
742 56274 2804.5 4748.7 5694.3 6421
338 56309 3049.3 6097.4 8952.9 6432
118 56362 6193.3 12242.0 17178.0 6434
402 56364 2215.3 4942.6 7608.8 6441
641 56330 5066.8 7729.2 8762.9 6457
788 56309 2774.4 6212.1 9254.0 6464
806 56328 2392.8 5679.0 9122.4 6469
78 56564 2187.4 4437.0 6605.9 6506
472 56567 5272.7 12465.0 19254.0 6512
320 56565 3354.7 7162.2 10398.0 6605
542 56358 4403.2 8088.3 10813.0 6630
124 56364 4403.2 8088.3 10813.0 6631
617 56364 2377.4 3521.3 4222.0 6631
658 56367 9838.3 16460.0 20431.0 6636
562 56385 2098.1 4536.7 6842.5 6640
703 56384 3909.5 6113.6 7504.8 6644
588 56398 4097.3 6095.6 7455.8 6645
676 56383 4832.5 8899.6 12245.0 6648
670 56366 4665.6 8042.2 10974.0 6657
505 56413 2863.1 6447.1 9582.9 6669
614 56389 4699.1 10137.0 14730.0 6676
481 56385 3343.1 5448.8 7130.3 6677
496 56385 2848.1 3506.2 4125.0 6677
935 56412 2635.1 5941.3 8259.0 6685
844 56389 2216.1 4622.8 6346.7 6686
910 56384 2231.9 4204.1 5461.8 6700
610 56390 2560.6 5204.8 7313.6 6725
44 56425 2436.3 4003.9 5143.6 6745
